pk,sk,exchange,attack
6,2,136018,56
6,2,137124,120
6,2,136194,118
6,2,139674,158
6,2,136438,153
6,2,136261,20
6,2,135479,108
6,2,136280,145
6,2,136806,99
6,2,136225,158
6,2,136478,128
6,2,137214,189
6,2,137488,105
6,2,136554,131
6,2,138212,41
6,2,135871,77
6,2,135539,91
6,2,137302,72
6,2,136353,38
6,2,136200,116
6,2,136250,156
6,2,137038,60
6,2,136208,82
6,2,135816,188
6,2,140808,26
6,2,143266,104
6,2,138663,121
6,2,137266,62
6,2,139759,108
6,2,143597,71
6,2,140917,98
6,2,143208,193
6,2,151833,100
6,2,140521,107
6,2,147230,135
6,2,138786,90
6,2,137981,103
6,2,136490,107
6,2,136234,85
6,2,136495,128
6,2,137258,81
6,2,136799,101
6,2,138280,149
6,2,137653,77
6,2,138813,115
6,2,139214,108
6,3,136798,267
6,3,135875,918
6,3,136462,1514
6,3,135944,106
6,3,136440,368
6,3,136182,1261
6,3,137365,1564
6,3,136294,1950
6,3,136567,300
6,3,138681,957
6,3,137134,2213
6,3,136826,334
6,3,135704,2532
6,3,137516,1530
6,3,135439,1219
6,3,135857,1596
6,3,137790,1089
6,3,137792,1586
6,3,136616,1223
6,3,140191,1306
6,3,136301,145
6,3,136185,1212
6,3,141202,1345
6,3,136236,1965
6,3,135862,1805
6,3,137421,1304
6,3,138764,1299
6,3,135812,1920
6,3,137116,973
6,3,138953,2285
6,3,136404,2217
6,3,141829,1265
6,3,137508,858
6,3,136319,1863
6,3,136234,805
6,3,138590,2478
6,3,140134,1287
6,3,152109,1395
6,3,158296,1169
6,3,155637,2283
6,3,144295,1417
6,3,136113,2045
6,3,136814,1382
6,3,136783,536
6,3,139012,412
6,3,137252,1014
6,3,138448,172
6,3,135074,780
6,3,135427,529
6,3,138276,1235
6,3,141004,990
6,3,137667,1043
6,3,136675,982
6,3,138205,1536
6,3,136404,1323
6,3,137328,1367
6,3,136846,766
6,3,136869,822
6,3,136974,475
6,3,137134,448
6,3,139424,1323
6,3,136635,1765
6,3,135860,1574
6,3,137984,1430
6,3,136980,1126
6,3,138809,1461
6,3,136982,472
6,3,135326,1740
6,3,137711,1101
6,3,139841,627
6,3,141351,1537
6,3,136080,1273
6,3,136750,1389
6,3,138555,1927
6,3,140943,1407
6,3,143668,723
6,3,136793,1493
6,3,142714,1640
6,3,148266,888
6,3,143923,1299
6,3,139402,1067
6,3,140283,697
6,3,137619,1567
6,3,137439,184
6,3,138173,1372
6,3,137097,1532
6,3,136544,1537
6,3,137253,808
6,3,136232,1426
6,3,136266,430
6,3,136634,1336
6,3,139196,875
6,3,137456,2279
6,3,137274,415
6,3,137702,612
6,3,135743,1090
6,3,136256,2112
6,3,138498,1297
6,3,137609,1214
6,3,135888,563
6,4,137043,5431
6,4,143634,8380
6,4,138274,25292
6,4,139117,15170
6,4,137990,18077
6,4,143475,3097
6,4,135942,15846
6,4,141368,16011
6,4,136769,11176
6,4,138748,20696
6,4,140829,27870
6,4,136044,22581
6,4,139152,15530
6,4,135972,11609
6,4,139343,16288
6,4,137222,23841
6,4,138739,14967
6,4,136082,5351
6,4,135885,23341
6,4,136784,22538
6,4,136539,31346
6,4,136427,14849
6,4,139418,17674
6,4,135524,19060
6,4,136078,17027
6,4,136427,5840
6,4,136848,15911
6,4,136900,6343
6,4,135990,22026
6,4,143806,10693
6,4,135911,9354
6,4,142819,32740
6,4,139686,26033
6,4,138911,12959
6,4,137604,13392
6,4,147601,13099
6,4,146898,17807
6,4,142330,28849
6,4,143182,26462
6,4,140367,16998
6,4,143488,16638
6,4,137505,1063
6,4,138518,13687
6,4,136810,28260
6,4,143608,11295
6,4,141456,6025
6,4,151499,5786
6,4,160074,16659
6,4,147926,12312
6,4,139180,7640
6,4,141505,19538
6,4,143566,24902
6,4,142164,15693
6,4,144175,20963
6,4,142318,15882
6,4,138363,13413
6,4,139986,11099
6,4,143932,23656
6,4,142792,8304
6,4,135672,1018
6,4,139232,6483
6,4,136627,1746
6,4,136509,16646
6,4,140254,7986
6,4,137136,21754
6,4,139534,14493
6,4,138381,5065
6,4,137147,16830
6,4,139809,13596
6,4,142423,20072
6,4,138972,17290
6,4,135940,11807
6,4,136929,6136
6,4,143413,8770
6,4,137339,1240
6,4,143824,5330
6,4,142426,26851
6,4,136265,5204
6,4,137532,17790
6,4,138515,22705
6,4,135066,15709
6,4,138224,1708
6,4,138060,2648
6,4,141441,1050
6,4,145602,23509
6,4,138307,10871
6,4,139855,13559
6,4,139279,18605
6,4,140428,9651
6,4,141157,20601
6,4,139181,6010
6,4,137590,5960
6,4,137603,28358
6,4,135035,14399
6,4,140200,30137
6,4,135974,8763
6,4,135293,28560
6,4,136381,11370
6,4,136751,7704
6,4,136825,21340
6,5,135231,258925
6,5,148594,431570
6,5,145839,298741
6,5,146944,42496
6,5,139385,142022
6,5,147960,12366
6,5,137408,378211
6,5,154569,135797
6,5,151247,312868
6,5,151172,325263
6,5,150487,133598
6,5,147743,58614
6,5,137350,12879
6,5,137250,64250
6,5,139563,289819
6,5,156969,125964
6,5,143692,60935
6,5,138385,255389
6,5,155023,23153
6,5,137688,232816
6,5,141172,306067
6,5,160130,181497
6,5,152376,22503
6,5,137739,358610
6,5,145946,160094
6,5,143528,175762
6,5,153682,184319
6,5,153772,13062
6,5,136365,120259
6,5,140037,60747
6,5,150075,257991
6,5,147265,259675
6,5,151198,205973
6,5,159220,176565
6,5,147953,224756
6,5,148138,194918
6,5,150473,251268
6,5,144845,296569
6,5,152436,218249
6,5,150402,114127
6,5,147779,184064
6,5,153590,387829
6,5,150999,63024
6,5,135862,179836
6,5,151204,165184
6,5,151765,86505
6,5,146658,12109
6,5,136000,170970
6,5,147690,91935
6,5,137671,150787
6,5,145730,11852
6,5,136124,300183
6,5,150104,97224
6,5,148354,145748
6,5,144097,354821
6,5,148793,81121
6,5,140309,50528
6,5,135056,99801
6,5,135383,308332
6,5,147235,193558
6,5,148334,421481
6,5,148806,321636
6,5,160656,94193
6,5,149514,313295
6,5,152154,11949
6,5,135970,308552
6,5,143550,171738
6,5,147447,12399
6,5,136160,330691
6,5,145353,146167
6,5,145839,407301
6,5,147519,260769
6,5,150788,23768
6,5,135607,88242
6,5,135607,209220
6,5,147124,51147
6,5,138489,370647
6,5,148953,151993
6,5,149506,199200
6,5,151438,451992
6,5,147935,42572
6,5,136469,341739
6,5,145131,279967
6,5,149092,239705
