group,pk,sk,exchange,attack,cardinality
s8,6,4,108123,15792,40320
s8,6,4,107231,1450,40320
s8,6,4,108898,11533,40320
s8,6,4,105837,6648,40320
s8,6,4,106704,3156,40320
s8,6,4,108492,9605,40320
s8,6,4,108548,15525,40320
s8,6,4,109638,9736,40320
s8,6,4,106958,13771,40320
s8,6,4,108039,6966,40320
s8,6,4,108274,10911,40320
s8,6,5,108864,8663,40320
s8,6,5,107937,67369,40320
s8,6,5,109301,72743,40320
s8,6,5,108278,79130,40320
s8,6,5,107800,29046,40320
s8,6,5,108285,28553,40320
s8,6,5,109639,37452,40320
s8,6,5,107227,85682,40320
s8,6,5,108206,117991,40320
s8,6,5,110839,9593,40320
s8,6,5,108215,7855,40320
s8,6,5,108587,43101,40320
s8,6,5,107910,188066,40320
s8,6,5,116688,35077,40320
s8,6,5,108210,30894,40320
s8,6,5,107012,35465,40320
s8,6,5,107643,3628,40320
s8,6,5,107234,46751,40320
s8,6,5,109336,8681,40320
s8,6,5,107836,80532,40320
s8,6,5,108691,2399,40320
s8,6,5,106584,24868,40320
s8,6,5,110329,18734,40320
s8,6,5,107520,64336,40320
s8,6,5,109089,14542,40320
d5,6,1,122016,14,10
d5,6,1,103594,17,10
d5,6,1,110617,16,10
d5,6,1,178572,13,10
d5,6,1,149639,16,10
d5,6,1,162701,14,10
d5,6,1,150383,17,10
d5,6,1,100378,14,10
d5,6,1,127142,11,10
d5,6,1,132053,16,10
d5,6,1,135321,15,10
d5,6,1,131767,14,10
d5,6,1,135316,12,10
d5,6,1,153614,15,10
d5,6,1,135656,14,10
d5,6,1,144308,17,10
d5,6,1,150412,18,10
d5,6,1,115903,13,10
d5,6,1,136350,20,10
d5,6,1,110600,17,10
d5,6,1,121213,13,10
d5,6,1,158649,14,10
d5,6,1,163360,17,10
d5,6,1,145986,14,10
d5,6,1,94620,15,10
d5,6,2,119799,19,10
d5,6,2,118675,21,10
d5,6,2,140471,17,10
d5,6,2,119825,13,10
d5,6,2,160254,26,10
d5,6,2,144583,27,10
d5,6,2,115854,15,10
d5,6,2,116102,23,10
